"","x"
"1",-0.631273535730163
"2",-0.835184699569189
"3",0.725257178073607
"4",-0.154426170138825
"5",-2.03668100004572
"6",0.51137911733322
"7",-1.41084154245346
"8",0.472189821746904
"9",0.427298006381529
"10",-0.9813517614336
"11",0.148163271201544
"12",-1.32093948679411
"13",0.894746575552504
"14",0.783309193685889
"15",0.365394266980836
"16",0.16816114293654
"17",1.1388809146793
"18",1.25704057379855
"19",-0.0569142617002082
"20",0.506314395101154
"21",0.607523989297047
"22",1.22433639463226
"23",1.52084627881711
"24",0.285703079623259
"25",-0.873476654466587
"26",0.930413447557541
"27",-1.03887670360719
"28",2.1650475243423
"29",0.306566491681792
"30",-0.764048556208982
"31",0.788090677966529
"32",1.67787775839175
"33",-2.83895288269768
"34",0.71085785922696
"35",0.820069976115327
"36",-1.30896843847401
"37",0.0654868486131567
"38",1.29083294450432
"39",2.16599947786166
"40",-1.07233664798233
"41",0.370143967947334
"42",0.863894671187521
"43",0.0897838020015176
"44",-1.72236912558571
"45",-0.326400441392172
"46",0.662070720970569
"47",1.96841233558338
"48",0.121226831003895
"49",0.193657925533843
"50",-0.0114864702273672
"51",-0.0717845671294282
"52",-1.05105054603276
"53",1.0401610265239
"54",-0.285835575215071
"55",1.62331137415638
"56",-0.16913395840364
"57",-0.850788359598664
"58",-0.285638424714345
"59",-0.090493609096806
"60",-0.573693610908761
"61",1.29105758922156
"62",-1.43629846596064
"63",-0.395014329440889
"64",1.30850884981804
"65",1.48691432326373
"66",0.1498246597539
"67",-0.434197268337665
"68",-0.476427828888058
"69",0.0864207903390479
"70",-0.571583792653332
"71",0.642781302146204
"72",-0.677747114491134
"73",0.61437400066089
"74",0.506231975373259
"75",-1.05690616836399
"76",-0.0945809328494873
"77",0.0842454260822337
"78",-1.24955073595915
"79",1.1327546082635
"80",0.235015889677541
"81",-0.44161535633711
"82",-0.813746576428828
"83",0.901185899333352
"84",2.0084142576756
"85",0.0680380295735458
"86",-0.220838766049876
"87",1.14107266601752
"88",-0.873214723343963
"89",-0.829269672230605
"90",-0.486274703094343
"91",-1.54438000695527
"92",-0.0963955311783459
"93",0.908703427918693
"94",1.09507915042941
"95",-0.238887184922826
"96",1.1791721513726
"97",0.5877653013824
"98",0.236356237807434
"99",0.186502105186087
"100",-0.611395955485255
"101",-1.43504636595744
"102",0.643113036379136
"103",-0.667569071853048
"104",0.0875220893823596
"105",0.113105401077408
"106",-0.947184321104987
"107",-0.461796516999524
"108",0.976534175191849
"109",0.178062290018218
"110",0.498349528954769
"111",-0.618974217149566
"112",-0.594945063961464
"113",0.508434592281279
"114",-0.734364054179678
"115",0.426428725540289
"116",0.600239304859696
"117",-0.730873388773145
"118",0.212797536226049
"119",-0.720133457076483
"120",-0.557684988648767
"121",0.514665741271543
"122",0.0470093521373629
"123",0.0165477220374088
"124",0.545510492230529
"125",-1.50291631976132
"126",2.63155420134574
